app,lang,reviews,install,minInstall,maxInstall,score,ratings,reviews,hist1,hist2,hist3,hist4,hist5
com-ovuline-fertility,cs,6,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,uk,3,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,bg,5,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,xh,9552,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,pt-BR,74,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,oc,64,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ti,10348,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,th,1,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ca,3,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ro,17,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,sk,3,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,id,26,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,hu,10,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,fi,1,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,da,5,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,es,248,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,it,71,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,sm,10547,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,sl,4,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,de,36,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,pt-PT,74,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,iw,12,"+1,000,000",1000000,"+1,000,000",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,fo,5,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,fy,40,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,hr,7,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ia,8557,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,jw,26,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,eo,8955,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,su,26,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,en,10945,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ja,1,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,el,5,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,gd,10945,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,sv,11,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,pl,16,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ga,13731,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,fr,64,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,sr,2,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ka,1,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ru,31,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,lt,2,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,tr,5,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ar,8,"+1,000,000",1000000,"+1,000,000",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,ms,2,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,cy,9552,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,la,71,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,lv,5,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,zh-TW,3,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,nl,40,1.000.000+,1000000,1.000.000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,zh-CN,1,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,nn,5,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,mt,9950,"1,000,000+",1000000,"1,000,000+",4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ovuline-fertility,no,5,1 000 000+,1000000,1 000 000+,4.6595135,70956,13174,1332,1003,2840,10124,55649
com-ladytimer-ovulationcalendar,az,1,5.000.000+,5000000,5.000.000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,cs,83,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,uk,60,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
com-ladytimer-ovulationcalendar,bg,79,5 000 000+,5000000,5 000 000+,4.8121605,85002,2542,914,822,1561,6643,75032
